iter	Logloss
0	0.6733549137
1	0.655154577
2	0.6369687123
3	0.620179151
4	0.6040602882
5	0.5861854392
6	0.570776678
7	0.5560293488
8	0.5415323696
9	0.5278976881
10	0.5144747775
11	0.5017308214
12	0.4880107274
13	0.4759953957
14	0.467127683
15	0.4558840165
16	0.4449102921
17	0.4338342225
18	0.4266876687
19	0.4193184702
20	0.4094231547
21	0.3998730942
22	0.3908446405
23	0.384178614
24	0.3751021577
25	0.3666479655
26	0.358651002
27	0.3528979429
28	0.3477306399
29	0.3401591337
30	0.3327682844
31	0.3253624905
32	0.3187931273
33	0.3121670504
34	0.305928157
35	0.3017594934
36	0.2955505755
37	0.2897476844
38	0.2856434008
39	0.2799660812
40	0.2745349072
41	0.2710945842
42	0.2651346119
43	0.2600321716
44	0.2564772527
45	0.2519010172
46	0.2473318466
47	0.2430429686
48	0.2386039389
49	0.2346964439
50	0.2316401629
51	0.2276125149
52	0.2236611582
53	0.2209608336
54	0.2173344684
55	0.2135534288
56	0.2102071398
57	0.2066672549
58	0.2046978025
59	0.2026344648
60	0.1995281737
61	0.1966876448
62	0.193992187
63	0.1913157332
64	0.1885173443
65	0.1856694781
66	0.183129261
67	0.1806423772
68	0.1779637937
69	0.175474838
70	0.173693573
71	0.171381674
72	0.1689288636
73	0.1677472808
74	0.1657686339
75	0.1638498742
76	0.1618253251
77	0.1599077473
78	0.1581435762
79	0.1569687901
80	0.1553391107
81	0.1534965196
82	0.1523507914
83	0.1512222534
84	0.1494421005
85	0.147872912
86	0.1463018783
87	0.1447529995
88	0.1432959724
89	0.1416722124
90	0.140122778
91	0.1387547158
92	0.1373317105
93	0.1365740009
94	0.1357083696
95	0.1348492499
96	0.1341086597
97	0.1329738535
98	0.1316564871
99	0.130515671
100	0.1297978909
101	0.1287272301
102	0.1276325731
103	0.1270794184
104	0.126125053
105	0.125055189
106	0.1238532915
107	0.1229565146
108	0.1223656013
109	0.1218129011
110	0.120499588
111	0.1194868083
112	0.1185597979
113	0.1183792014
114	0.1175739869
115	0.1166812981
116	0.1159710693
117	0.1156804642
118	0.1149115864
119	0.1138858174
